BATTERY - SIMPLE ASSAULT,155834
BURGLARY FROM VEHICLE,131123
VEHICLE - STOLEN,130938
BURGLARY,122861
THEFT PLAIN - PETTY ($950 & UNDER),121469
THEFT OF IDENTITY,107052
INTIMATE PARTNER - SIMPLE ASSAULT,92207
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",86118
VANDALISM - MISDEAMEANOR ($399 OR UNDER),76029
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",72942
THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),69663
ROBBERY,68257
"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",60209
CRIMINAL THREATS - NO WEAPON DISPLAYED,47425
SHOPLIFTING - PETTY THEFT ($950 & UNDER),38020
THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),24554
DOCUMENT FORGERY / STOLEN FELONY,19895
OTHER MISCELLANEOUS CRIME,17381
VIOLATION OF COURT ORDER,16966
"LETTERS, LEWD",16376
TRESPASSING,15825
VIOLATION OF RESTRAINING ORDER,14752
"THEFT, PERSON",11376
"BURGLARY, ATTEMPTED",10576
BRANDISH WEAPON,10162
INTIMATE PARTNER - AGGRAVATED ASSAULT,10065
BIKE - STOLEN,9849
ATTEMPTED ROBBERY,9700
BATTERY WITH SEXUAL CONTACT,8796
"RAPE, FORCIBLE",8029
CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,7308
CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)0060,6849
"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",6302
"BUNCO, GRAND THEFT",5851
CHILD NEGLECT (SEE 300 W.I.C.),4720
CHILD ANNOYING (17YRS & UNDER),4400
BATTERY POLICE (SIMPLE),3729
"BUNCO, PETTY THEFT",3573
"SEX, UNLAWFUL",3393
SHOPLIFTING-GRAND THEFT ($950.01 & OVER),3026
DISCHARGE FIREARMS/SHOTS FIRED,3022
DISTURBING THE PEACE,2975
ARSON,2827
CONTEMPT OF COURT,2817
INDECENT EXPOSURE,2790
RESISTING ARREST,2755
VEHICLE - ATTEMPT STOLEN,2738
THREATENING PHONE CALLS/LETTERS,2718
"BURGLARY FROM VEHICLE, ATTEMPTED",2453
CRIMINAL HOMICIDE,2309
OTHER ASSAULT,2262
SHOTS FIRED AT INHABITED DWELLING,2127
EXTORTION,1863
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $400 & UNDER",1803
KIDNAPPING,1748
STALKING,1573
SEXUAL PENTRATION WITH A FOREIGN OBJECT,1512
THEFT PLAIN - ATTEMPT,1401
CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,1375
ORAL COPULATION,1370
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,1351
THROWING OBJECT AT MOVING VEHICLE,1267
CRUELTY TO ANIMALS,1175
SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH 0007=02,1117
VIOLATION OF TEMPORARY RESTRAINING ORDER,1109
UNAUTHORIZED COMPUTER ACCESS,1099
"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1063
LEWD CONDUCT,1046
PURSE SNATCHING,1026
THEFT FROM MOTOR VEHICLE - ATTEMPT,999
PEEPING TOM,965
CHILD STEALING,963
"RAPE, ATTEMPTED",931
BOMB SCARE,922
PROWLER,780
FALSE IMPRISONMENT,772
COUNTERFEIT,729
"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",689
PICKPOCKET,661
KIDNAPPING - GRAND ATTEMPT,622
"BUNCO, ATTEMPT",513
"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",489
PIMPING,421
ILLEGAL DUMPING,415
DRIVING WITHOUT OWNER CONSENT (DWOC),401
FALSE POLICE REPORT,333
FAILURE TO YIELD,299
DOCUMENT WORTHLESS ($200.01 & OVER),288
SEXUAL PENETRATION W/FOREIGN OBJECT,287
"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ0059",260
BATTERY ON A FIREFIGHTER,249
BOAT - STOLEN,240
THEFT FROM PERSON - ATTEMPT,238
PANDERING,227
"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",211
"CREDIT CARDS, FRAUD USE ($950 & UNDER",205
RECKLESS DRIVING,201
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $400",196
"THEFT, COIN MACHINE - PETTY ($950 & UNDER)",191
SHOPLIFTING - ATTEMPT,172
CONTRIBUTING,160
WEAPONS POSSESSION/BOMBING,143
DISHONEST EMPLOYEE - GRAND THEFT,141
DISHONEST EMPLOYEE - PETTY THEFT,108
CHILD ABANDONMENT,79
TILL TAP - PETTY ($950 & UNDER),78
GRAND THEFT / INSURANCE FRAUD,63
HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,55
CONSPIRACY,47
DOCUMENT WORTHLESS ($200 & UNDER),44
LYNCHING,41
LEWD/LASCIVIOUS ACTS WITH CHILD,41
PURSE SNATCHING - ATTEMPT,41
"DRUGS, TO A MINOR",38
DISRUPT SCHOOL,37
CHILD PORNOGRAPHY,37
"THEFT, COIN MACHINE - GRAND ($950.01 & OVER)",36
TELEPHONE PROPERTY - DAMAGE,36
BIKE - ATTEMPTED STOLEN,31
BRIBERY,30
DRUNK ROLL,27
"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM0065",21
"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)0132",21
LYNCHING - ATTEMPTED,20
PETTY THEFT - AUTO REPAIR,19
"THEFT, COIN MACHINE - ATTEMPT",19
"PICKPOCKET, ATTEMPT",18
FAILURE TO DISPERSE,18
TILL TAP - GRAND THEFT ($950.01 & OVER),14
GRAND THEFT / AUTO REPAIR,12
HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,11
INCITING A RIOT,11
BIGAMY,10
DISHONEST EMPLOYEE ATTEMPTED THEFT,8
INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES),8
ABORTION/ILLEGAL,5
"MANSLAUGHTER, NEGLIGENT",4
TILL TAP - ATTEMPT,3
BLOCKING DOOR INDUCTION CENTER,3
TRAIN WRECKING,2
FIREARMS RESTRAINING ORDER (FIREARMS RO),1
DRUNK ROLL - ATTEMPT,1
