PETIT LARCENY,81527
HARRASSMENT 2,62131
ASSAULT 3 & RELATED OFFENSES,52190
CRIMINAL MISCHIEF & RELATED OF,48830
GRAND LARCENY,44228
DANGEROUS DRUGS,23685
OFF. AGNST PUB ORD SENSBLTY &,20791
FELONY ASSAULT,20374
ROBBERY,16969
BURGLARY,15183
MISCELLANEOUS PENAL LAW,13464
DANGEROUS WEAPONS,10529
OFFENSES AGAINST PUBLIC ADMINI,9395
GRAND LARCENY OF MOTOR VEHICLE,7329
VEHICLE AND TRAFFIC LAWS,6274
INTOXICATED & IMPAIRED DRIVING,5932
SEX CRIMES,5695
FORGERY,5223
THEFT-FRAUD,5077
CRIMINAL TRESPASS,4327
FRAUDS,3576
POSSESSION OF STOLEN PROPERTY,2037
UNAUTHORIZED USE OF A VEHICLE,1604
OTHER OFFENSES RELATED TO THEF,1519
RAPE,1444
OFFENSES AGAINST THE PERSON,1289
OFFENSES INVOLVING FRAUD,1176
ADMINISTRATIVE CODE,1076
ARSON,1042
NYS LAWS-UNCLASSIFIED FELONY,491
THEFT OF SERVICES,469
OTHER STATE LAWS (NON PENAL LA,424
MURDER & NON-NEGL. MANSLAUGHTER,352
GAMBLING,343
BURGLAR'S TOOLS,286
FRAUDULENT ACCOSTING,178
OFFENSES RELATED TO CHILDREN,146
KIDNAPPING & RELATED OFFENSES,140
PROSTITUTION & RELATED OFFENSES,109
AGRICULTURE & MRKTS LAW-UNCLASSIFIED,83
ALCOHOLIC BEVERAGE CONTROL LAW,78
OFFENSES AGAINST PUBLIC SAFETY,71
PETIT LARCENY OF MOTOR VEHICLE,71
DISORDERLY CONDUCT,54
JOSTLING,38
CHILD ABANDONMENT/NON SUPPORT,33
ENDAN WELFARE INCOMP,24
ESCAPE 3,14
"LOITERING/GAMBLING (CARDS, DIC",13
OTHER STATE LAWS,12
NEW YORK CITY HEALTH CODE,11
NYS LAWS-UNCLASSIFIED VIOLATION,6
DISRUPTION OF A RELIGIOUS SERV,6
INTOXICATED/IMPAIRED DRIVING,5
ANTICIPATORY OFFENSES,4
HOMICIDE-NEGLIGENT-VEHICLE,3
KIDNAPPING AND RELATED OFFENSES,2
ADMINISTRATIVE CODES,2
UNLAWFUL POSS. WEAP. ON SCHOOL,2
ABORTION,2
FORTUNE TELLING,1
OTHER STATE LAWS (NON PENAL LAW),1
KIDNAPPING,1
UNDER THE INFLUENCE OF DRUGS,1
LOITERING,1
OTHER TRAFFIC INFRACTION,1
